2025-12-19 09:06:03.074 [http-nio-8080-exec-3] INFO  c.j.a.c.RequestLoggingInterceptor - API Request - Method: GET | URI: /api/doctors/1/available-slots | Client IP: 192.168.8.194 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
2025-12-19 09:06:03.083 [http-nio-8080-exec-3] INFO  c.j.a.c.RequestLoggingInterceptor - API Response - Method: GET | URI: /api/doctors/1/available-slots | Status: 200 | Time: 9ms
2025-12-19 09:06:07.026 [http-nio-8080-exec-1] INFO  c.j.a.c.RequestLoggingInterceptor - API Request - Method: GET | URI: /api/doctors/1 | Client IP: 192.168.8.186 | User-Agent: Expo/1017756 CFNetwork/1410.1 Darwin/22.6.0
2025-12-19 09:06:07.034 [http-nio-8080-exec-1] INFO  c.j.a.c.RequestLoggingInterceptor - API Response - Method: GET | URI: /api/doctors/1 | Status: 200 | Time: 8ms
2025-12-19 09:06:09.448 [http-nio-8080-exec-5] INFO  c.j.a.c.RequestLoggingInterceptor - API Request - Method: GET | URI: /api/doctors/1 | Client IP: 192.168.8.186 | User-Agent: Expo/1017756 CFNetwork/1410.1 Darwin/22.6.0
2025-12-19 09:06:09.454 [http-nio-8080-exec-5] INFO  c.j.a.c.RequestLoggingInterceptor - API Response - Method: GET | URI: /api/doctors/1 | Status: 200 | Time: 6ms
2025-12-19 09:06:10.907 [http-nio-8080-exec-9] INFO  c.j.a.c.RequestLoggingInterceptor - API Request - Method: GET | URI: /api/doctors/1/available-slots | Client IP: 192.168.8.186 | User-Agent: Expo/1017756 CFNetwork/1410.1 Darwin/22.6.0
2025-12-19 09:06:10.913 [http-nio-8080-exec-9] INFO  c.j.a.c.RequestLoggingInterceptor - API Response - Method: GET | URI: /api/doctors/1/available-slots | Status: 200 | Time: 6ms
2025-12-19 09:06:19.799 [http-nio-8080-exec-4] INFO  c.j.a.c.RequestLoggingInterceptor - API Request - Method: POST | URI: /api/appointments | Client IP: 192.168.8.186 | User-Agent: Expo/1017756 CFNetwork/1410.1 Darwin/22.6.0
2025-12-19 09:06:19.810 [http-nio-8080-exec-4] INFO  c.j.a.c.RequestLoggingInterceptor - API Response - Method: POST | URI: /api/appointments | Status: 201 | Time: 11ms
2025-12-19 09:06:21.719 [http-nio-8080-exec-2] INFO  c.j.a.c.RequestLoggingInterceptor - API Request - Method: GET | URI: /api/appointments/user/2 | Client IP: 192.168.8.186 | User-Agent: Expo/1017756 CFNetwork/1410.1 Darwin/22.6.0
2025-12-19 09:06:21.723 [http-nio-8080-exec-2] INFO  c.j.a.c.RequestLoggingInterceptor - API Response - Method: GET | URI: /api/appointments/user/2 | Status: 200 | Time: 4ms
2025-12-19 09:06:46.669 [http-nio-8080-exec-7] INFO  c.j.a.c.RequestLoggingInterceptor - API Request - Method: POST | URI: /api/appointments | Client IP: 192.168.8.194 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
2025-12-19 09:06:46.675 [http-nio-8080-exec-7] INFO  c.j.a.c.RequestLoggingInterceptor - API Response - Method: POST | URI: /api/appointments | Status: 201 | Time: 6ms
